fundo_normalizado,red,estacion,station_id,station_code,device_id,archivo,sheet,criterio_asignacion,origen_asignacion,detalle_match,requiere_validacion_manual,prioridad,score_confianza_0_100,distancia_km,cobertura_%,dias_con_datos,calidad_score,calidad_global,completitud_variables_%,variables_faltantes,gaps_detalle,lat_fundo,lon_fundo,lat_estacion,lon_estacion,rank_candidato,seleccionada
Idahue,ZENTRA,Idahue,z6-28663,,z6-28663,data\raw\climate\zentra\idahue\Idahue_z6-28663(z6-28663)-Configuration 1-1779121716.577247.csv,,historica,historica,ZENTRA Idahue- Zentra (),False,1,100.0,2.42,96.72,383.0,98.25,ALTA,100.0,,2026-05-19 a 2026-05-31 (13d),-34.50116067551021,-71.2254994244898,-34.4905388,-71.202477,1,True
Keule,ZENTRA,Keule,A4100457,,A4100457,data\raw\climate\zentra\keule\EMA (Riego)(A4100457)-Configuration 1-1779121611.359105.csv,,historica,historica,ZENTRA Keule (),False,1,100.0,0.87,92.42,366.0,96.56,ALTA,100.0,,2025-05-01 a 2025-05-17 (17d); 2026-05-19 a 2026-05-31 (13d),-35.86857707647059,-72.0439696882353,-35.8630996,-72.0508592,1,True
Los Acacios,INIA/AGROMET,"Los Acacios, Ovalle",,,,data\raw\climate\inia\los_acacios\agrometeorologia-20260527125846.xlsx,datos,nombre,inferida,coincidencia por nombre fundo/estacion,False,5,100.0,,98.99,392.0,99.55,ALTA,100.0,,2026-05-28 a 2026-05-31 (4d),-30.69549825,-71.28461548181818,,,1,True
Lourdes,INIA/AGROMET,"Pencahue, Pencahue",,,,data\raw\climate\inia\lourdes\agrometeorologia-20260527125953.xlsx,datos,manual_preferida,manual,Override manual: Lourdes debe usar Pencahue de INIA/AGROMET disponible en data/raw/climate/inia.,False,0,100.0,,98.99,392.0,99.55,ALTA,100.0,,2026-05-28 a 2026-05-31 (4d),-35.44958953963649,-71.80562525805281,,,1,True
Mariposas,INIA/AGROMET,"San Clemente, San Clemente",INIA-135,INIA-135,,data\raw\climate\inia\san clemente\agrometeorologia-20260527154932.xlsx,datos,historica,historica,INIA San Clemente (INIA-135),False,1,100.0,,98.99,392.0,99.55,ALTA,100.0,,2026-05-28 a 2026-05-31 (4d),-35.526578371999996,-71.448255348,,,1,True
Nilahue,Meteovid/datavid,Lolol Nilahue,66,,,data\raw\climate\datavid\lolol_nilahue\climate_hourly.csv,,historica,historica,Meteovid Lolol - Nilahue (66),False,1,100.0,0.7,96.72,383.0,98.23,ALTA,100.0,,2026-05-19 a 2026-05-31 (13d),-34.70404237435898,-71.76346287692309,-34.69942,-71.76865,1,True
Palo Santo,INIA/AGROMET,"Liceo Jean Buchanan, Peumo",,,,data\raw\climate\inia\peumo\agrometeorologia-20260527110753.xlsx,datos,historica,historica,AGROMET Liceo Jean Buchanan (),False,1,100.0,,98.99,392.0,99.55,ALTA,100.0,,2026-05-28 a 2026-05-31 (4d),-34.42285402469879,-71.59042839156626,,,1,True
Peumo,INIA/AGROMET,"Liceo Jean Buchanan, Peumo",,,,data\raw\climate\inia\peumo\agrometeorologia-20260527110753.xlsx,datos,historica,historica,AGROMET Liceo Jean Buchanan (),False,1,100.0,,98.99,392.0,99.55,ALTA,100.0,,2026-05-28 a 2026-05-31 (4d),-34.35765174166667,-71.19166105833334,,,1,True
Quebrada Seca,Meteovid/datavid,Ovalle Quebrada Seca,64,,,data\raw\climate\datavid\ovalle_quebrada_seca\climate_hourly.csv,,nombre,inferida,coincidencia por nombre fundo/estacion,False,5,100.0,0.07,96.72,383.0,98.3,ALTA,100.0,,2026-05-19 a 2026-05-31 (13d),-30.52729841111111,-71.44941176222223,-30.52726,-71.45012,1,True
Quebrada de Agua,INIA/AGROMET,"San Clemente, San Clemente",INIA-135,INIA-135,,data\raw\climate\inia\san clemente\agrometeorologia-20260527154932.xlsx,datos,historica,historica,INIA San Clemente (INIA-135),False,1,100.0,,98.99,392.0,99.55,ALTA,100.0,,2026-05-28 a 2026-05-31 (4d),-35.504720011904766,-71.47014945714285,,,1,True
