fundo_normalizado,red,estacion,station_id,station_code,device_id,archivo,sheet,criterio_asignacion,origen_asignacion,detalle_match,requiere_validacion_manual,prioridad,score_confianza_0_100,distancia_km,cobertura_%,dias_con_datos,calidad_score,calidad_global,completitud_variables_%,variables_faltantes,gaps_detalle,lat_fundo,lon_fundo,lat_estacion,lon_estacion,rank_candidato,seleccionada
Idahue,INIA/AGROMET,"Liceo Jean Buchanan, Peumo",,,,data\raw\climate\inia\peumo\agrometeorologia-20260527110753.xlsx,datos,historica,historica,AGROMET Liceo Jean Buchanan (),False,1,100.0,,98.99,392.0,99.55,ALTA,100.0,,2026-05-28 a 2026-05-31 (4d),-34.50116067551021,-71.2254994244898,,,2,False
Idahue,ZENTRA,San Vicente-Idahue,65,65,z6-28663,data\raw\climate\BD Zentra\65. San Vicente-Idahue (Zentra).xlsx,65.Vicente-Idahue(Datos Zentra),historica,historica,ZENTRA Idahue- Zentra (),False,1,95.97,2.42,75.25,298.0,88.57,MEDIA,100.0,,2026-02-23 a 2026-05-31 (98d),-34.50116067551021,-71.2254994244898,-34.49054,-71.20247,3,False
Idahue,Meteovid/datavid,San Vicente Idahue,65,,,data\raw\climate\datavid\san_vicente_idahue\climate_hourly.csv,,historica_fuente_no_confirmada,historica_inferida,ZENTRA Idahue- Zentra (); fuente detectada=Meteovid/datavid,True,4,100.0,2.42,96.72,383.0,98.36,ALTA,100.0,,2026-05-19 a 2026-05-31 (13d),-34.50116067551021,-71.2254994244898,-34.49054,-71.20247,4,False
Idahue,Meteovid/datavid,San Vicente Idahue,65,,,data\raw\climate\datavid\san_vicente_idahue\climate_hourly.parquet,,historica_fuente_no_confirmada,historica_inferida,ZENTRA Idahue- Zentra (); fuente detectada=Meteovid/datavid,True,4,100.0,2.42,96.72,383.0,98.36,ALTA,100.0,,2026-05-19 a 2026-05-31 (13d),-34.50116067551021,-71.2254994244898,-34.49054,-71.20247,5,False
Idahue,Meteovid/datavid,Santa Cruz Apalta 1,26,,,data\raw\climate\datavid\santa_cruz_apalta_1\climate_hourly.csv,,proximidad,inferida,distancia <= 60 km,False,7,95.1,12.49,96.72,383.0,98.48,ALTA,100.0,,2026-05-19 a 2026-05-31 (13d),-34.50116067551021,-71.2254994244898,-34.5939,-71.3024,6,False
Idahue,Meteovid/datavid,Santa Cruz Apalta 1,26,,,data\raw\climate\datavid\santa_cruz_apalta_1\climate_hourly.parquet,,proximidad,inferida,distancia <= 60 km,False,7,95.1,12.49,96.72,383.0,98.48,ALTA,100.0,,2026-05-19 a 2026-05-31 (13d),-34.50116067551021,-71.2254994244898,-34.5939,-71.3024,7,False
Idahue,Meteovid/datavid,Buin Alto Jahuel,13,,,data\raw\climate\datavid\buin_alto_jahuel\climate_hourly.csv,,proximidad,inferida,distancia <= 60 km,False,7,93.71,18.02,96.72,383.0,98.46,ALTA,100.0,,2026-05-19 a 2026-05-31 (13d),-34.50116067551021,-71.2254994244898,-34.64611,-71.31361,8,False
Idahue,Meteovid/datavid,Buin Alto Jahuel,13,,,data\raw\climate\datavid\buin_alto_jahuel\climate_hourly.parquet,,proximidad,inferida,distancia <= 60 km,False,7,93.71,18.02,96.72,383.0,98.46,ALTA,100.0,,2026-05-19 a 2026-05-31 (13d),-34.50116067551021,-71.2254994244898,-34.64611,-71.31361,9,False
Idahue,Meteovid/datavid,Nancagua Puquillay,107,,,data\raw\climate\datavid\nancagua_puquillay\climate_hourly.csv,,proximidad,inferida,distancia <= 60 km,False,7,91.85,21.69,94.95,376.0,97.73,ALTA,100.0,,2026-05-19 a 2026-05-31 (13d),-34.50116067551021,-71.2254994244898,-34.67993,-71.1308,10,False
Idahue,Meteovid/datavid,Nancagua Puquillay,107,,,data\raw\climate\datavid\nancagua_puquillay\climate_hourly.parquet,,proximidad,inferida,distancia <= 60 km,False,7,91.85,21.69,94.95,376.0,97.73,ALTA,100.0,,2026-05-19 a 2026-05-31 (13d),-34.50116067551021,-71.2254994244898,-34.67993,-71.1308,11,False
