fundo_normalizado,requerido_en_fenologia,requerido_en_tintas,requerido_en_blancas,requerido_en_fenoles,estacion_recomendada,red,station_id,cobertura_%,calidad_global,distancia_km,merge_fenologia_clima_existente,merge_evidencia_archivos,estado,comentario_tecnico
Idahue,True,True,True,True,Idahue,ZENTRA,z6-28663,96.72,ALTA,2.42,True,data\prepared\phenology_climate\idahue_cabernet_sauvignon_2025_2026.xlsx; data\prepared\phenology_climate\idahue_carmenere_2025_2026.xlsx; data\prepared\phenology_climate\idahue_chardonnay_2025_2026.xlsx; data\prepared\phenology_climate\idahue_sauvignon_blanc_2025_2026.xlsx,OK,criterio=historica | origen=historica | score=100.0 | gaps >3d: 2026-05-19 a 2026-05-31 (13d) | 37 candidato(s) secundario(s) reportados | merge fenologia-clima existente: data\prepared\phenology_climate\idahue_cabernet_sauvignon_2025_2026.xlsx; data\prepared\phenology_climate\idahue_carmenere_2025_2026.xlsx; data\prepared\phenology_climate\idahue_chardonnay_2025_2026.xlsx; data\prepared\phenology_climate\idahue_sauvignon_blanc_2025_2026.xlsx
Mariposas,False,False,True,False,"San Clemente, San Clemente",INIA/AGROMET,INIA-135,98.99,ALTA,,False,,OK,criterio=historica | origen=historica | score=100.0 | gaps >3d: 2026-05-28 a 2026-05-31 (4d)
Keule,True,True,False,True,Keule,ZENTRA,A4100457,92.42,ALTA,0.87,True,data\prepared\phenology_climate\keule_cabernet_sauvignon_2025_2026.xlsx; data\prepared\phenology_climate\keule_carmenere_2025_2026.xlsx; data\prepared\phenology_climate\keule_chardonnay_2025_2026.xlsx; data\prepared\phenology_climate\keule_sauvignon_blanc_2025_2026.xlsx,OK,criterio=historica | origen=historica | score=100.0 | gaps >3d: 2025-05-01 a 2025-05-17 (17d); 2026-05-19 a 2026-05-31 (13d) | 26 candidato(s) secundario(s) reportados | merge fenologia-clima existente: data\prepared\phenology_climate\keule_cabernet_sauvignon_2025_2026.xlsx; data\prepared\phenology_climate\keule_carmenere_2025_2026.xlsx; data\prepared\phenology_climate\keule_chardonnay_2025_2026.xlsx; data\prepared\phenology_climate\keule_sauvignon_blanc_2025_2026.xlsx
Los Acacios,True,False,False,False,"Los Acacios, Ovalle",INIA/AGROMET,,98.99,ALTA,,True,data\prepared\phenology_climate\los_acacios_cabernet_sauvignon_2025_2026.xlsx; data\prepared\phenology_climate\los_acacios_carmenere_2025_2026.xlsx; data\prepared\phenology_climate\los_acacios_chardonnay_2025_2026.xlsx; data\prepared\phenology_climate\los_acacios_sauvignon_blanc_2025_2026.xlsx,OK,criterio=nombre | origen=inferida | score=100.0 | gaps >3d: 2026-05-28 a 2026-05-31 (4d) | 6 candidato(s) secundario(s) reportados | merge fenologia-clima existente: data\prepared\phenology_climate\los_acacios_cabernet_sauvignon_2025_2026.xlsx; data\prepared\phenology_climate\los_acacios_carmenere_2025_2026.xlsx; data\prepared\phenology_climate\los_acacios_chardonnay_2025_2026.xlsx; data\prepared\phenology_climate\los_acacios_sauvignon_blanc_2025_2026.xlsx
Nilahue,True,True,False,True,Lolol Nilahue,Meteovid/datavid,66,96.72,ALTA,0.7,True,data\prepared\phenology_climate\nilahue_cabernet_sauvignon_2025_2026.xlsx; data\prepared\phenology_climate\nilahue_carmenere_2025_2026.xlsx; data\prepared\phenology_climate\nilahue_chardonnay_2025_2026.xlsx; data\prepared\phenology_climate\nilahue_sauvignon_blanc_2025_2026.xlsx,OK,criterio=historica | origen=historica | score=100.0 | gaps >3d: 2026-05-19 a 2026-05-31 (13d) | 25 candidato(s) secundario(s) reportados | merge fenologia-clima existente: data\prepared\phenology_climate\nilahue_cabernet_sauvignon_2025_2026.xlsx; data\prepared\phenology_climate\nilahue_carmenere_2025_2026.xlsx; data\prepared\phenology_climate\nilahue_chardonnay_2025_2026.xlsx; data\prepared\phenology_climate\nilahue_sauvignon_blanc_2025_2026.xlsx
Quebrada de Agua,False,True,True,True,"San Clemente, San Clemente",INIA/AGROMET,INIA-135,98.99,ALTA,,False,,OK,criterio=historica | origen=historica | score=100.0 | gaps >3d: 2026-05-28 a 2026-05-31 (4d)
Quebrada Seca,True,False,False,False,Ovalle Quebrada Seca,Meteovid/datavid,64,96.72,ALTA,0.07,True,data\prepared\phenology_climate\qba_seca_cabernet_sauvignon_2025_2026.xlsx; data\prepared\phenology_climate\qba_seca_carmenere_2025_2026.xlsx; data\prepared\phenology_climate\qba_seca_chardonnay_2025_2026.xlsx; data\prepared\phenology_climate\qba_seca_sauvignon_blanc_2025_2026.xlsx,OK,criterio=nombre | origen=inferida | score=100.0 | gaps >3d: 2026-05-19 a 2026-05-31 (13d) | 5 candidato(s) secundario(s) reportados | merge fenologia-clima existente: data\prepared\phenology_climate\qba_seca_cabernet_sauvignon_2025_2026.xlsx; data\prepared\phenology_climate\qba_seca_carmenere_2025_2026.xlsx; data\prepared\phenology_climate\qba_seca_chardonnay_2025_2026.xlsx; data\prepared\phenology_climate\qba_seca_sauvignon_blanc_2025_2026.xlsx
Ucuquer,True,False,True,False,Ucuquer,ZENTRA,z6-28614,96.72,ALTA,3.93,True,data\prepared\phenology_climate\ucuquer_cabernet_sauvignon_2025_2026.xlsx; data\prepared\phenology_climate\ucuquer_carmenere_2025_2026.xlsx; data\prepared\phenology_climate\ucuquer_chardonnay_2025_2026.xlsx; data\prepared\phenology_climate\ucuquer_sauvignon_blanc_2025_2026.xlsx,OK,criterio=historica | origen=historica | score=100.0 | gaps >3d: 2026-05-19 a 2026-05-31 (13d) | 23 candidato(s) secundario(s) reportados | merge fenologia-clima existente: data\prepared\phenology_climate\ucuquer_cabernet_sauvignon_2025_2026.xlsx; data\prepared\phenology_climate\ucuquer_carmenere_2025_2026.xlsx; data\prepared\phenology_climate\ucuquer_chardonnay_2025_2026.xlsx; data\prepared\phenology_climate\ucuquer_sauvignon_blanc_2025_2026.xlsx
Lourdes,True,True,True,True,"Pencahue, Pencahue",INIA/AGROMET,,98.99,ALTA,,True,data\prepared\phenology_climate\lourdes_cabernet_sauvignon_2025_2026.xlsx; data\prepared\phenology_climate\lourdes_carmenere_2025_2026.xlsx; data\prepared\phenology_climate\lourdes_chardonnay_2025_2026.xlsx; data\prepared\phenology_climate\lourdes_sauvignon_blanc_2025_2026.xlsx,OK,criterio=manual_preferida | origen=manual | score=100.0 | gaps >3d: 2026-05-28 a 2026-05-31 (4d) | 38 candidato(s) secundario(s) reportados | merge fenologia-clima existente: data\prepared\phenology_climate\lourdes_cabernet_sauvignon_2025_2026.xlsx; data\prepared\phenology_climate\lourdes_carmenere_2025_2026.xlsx; data\prepared\phenology_climate\lourdes_chardonnay_2025_2026.xlsx; data\prepared\phenology_climate\lourdes_sauvignon_blanc_2025_2026.xlsx
Peumo,False,True,False,True,"Liceo Jean Buchanan, Peumo",INIA/AGROMET,,98.99,ALTA,,False,,OK,criterio=historica | origen=historica | score=100.0 | gaps >3d: 2026-05-28 a 2026-05-31 (4d) | 31 candidato(s) secundario(s) reportados
