idEstacion,fecha,velocidadMaximaViento,velocidadPromedioViento,radiacion,precipitacion,humedadRelativa,tempMinima,tempMedia,tempMaxima,dpv,presion
66,2024-09-10 11:00:00,13.5,8.09,463.3,0.0,68.5,13.0,13.1,13.2,,100.68
66,2024-09-10 12:00:00,24.52,9.91,618.3,0.0,59.33,14.0,14.68,15.2,,100.65
66,2024-09-10 13:00:00,19.37,8.21,760.3,0.0,55.38,15.6,15.93,16.3,,100.61
66,2024-09-10 14:00:00,20.84,7.29,847.1,0.0,52.98,16.5,17.18,17.7,,100.55
66,2024-09-10 15:00:00,19.66,9.13,646.8,0.0,52.38,16.9,17.28,17.8,,100.53
66,2024-09-10 16:00:00,26.5,12.72,390.5,0.0,54.08,16.5,16.85,17.2,,100.55
66,2024-09-10 17:00:00,21.2,11.25,518.0,0.0,54.68,16.6,17.0,17.4,,100.59
66,2024-09-10 18:00:00,25.6,8.85,123.3,0.0,57.35,16.1,16.13,16.2,,100.66
66,2024-09-10 19:00:00,11.95,5.69,131.3,0.0,57.0,15.6,15.8,16.0,,100.7
66,2024-09-10 20:00:00,14.18,7.14,36.5,0.0,65.35,13.1,14.35,15.8,,100.75
66,2024-09-10 21:00:00,13.18,5.98,0.0,0.0,73.75,11.7,12.13,12.6,,100.83
66,2024-09-10 22:00:00,8.78,2.89,0.0,0.0,82.65,8.7,9.8,11.0,,100.89
66,2024-09-10 23:00:00,8.78,3.64,0.0,0.0,89.1,7.3,7.9,8.6,,100.91
66,2024-09-11 00:00:00,7.99,3.42,0.0,0.0,90.63,7.0,7.18,7.4,,100.93
66,2024-09-11 01:00:00,10.8,7.51,0.0,0.0,84.95,8.2,8.33,8.5,,100.93
66,2024-09-11 02:00:00,14.18,6.19,0.0,0.0,82.18,8.0,8.7,9.2,,100.95
66,2024-09-11 03:00:00,15.48,7.69,0.0,0.0,80.73,8.0,8.78,9.5,,100.97
66,2024-09-11 04:00:00,16.74,9.44,0.0,0.0,78.13,9.3,9.48,9.6,,100.95
66,2024-09-11 05:00:00,13.46,7.17,0.0,0.0,82.58,7.9,8.15,8.6,,100.91
66,2024-09-11 06:00:00,14.51,8.96,0.0,0.0,83.55,8.0,8.05,8.1,,100.89
66,2024-09-11 07:00:00,16.6,7.21,0.0,0.0,84.65,6.8,7.48,8.0,,100.9
66,2024-09-11 08:00:00,17.75,9.99,5.5,0.0,84.38,6.8,7.3,7.8,,100.9
66,2024-09-11 09:00:00,21.1,10.91,148.2,0.0,82.0,8.0,8.5,8.9,,100.92
66,2024-09-11 10:00:00,24.8,11.02,306.3,0.0,78.65,9.2,9.7,10.3,,100.94
66,2024-09-11 11:00:00,26.89,13.39,509.4,0.0,70.6,10.7,11.3,12.1,,100.94
66,2024-09-11 12:00:00,27.25,12.99,699.9,0.0,61.88,12.5,13.05,13.8,,100.92
66,2024-09-11 13:00:00,28.22,15.0,794.3,0.0,54.3,14.0,14.55,15.2,,100.89
66,2024-09-11 14:00:00,27.18,14.98,797.1,0.0,46.98,15.3,16.0,16.5,,100.83
66,2024-09-11 15:00:00,28.3,13.24,818.3,0.0,42.53,16.8,17.25,17.6,,100.75
66,2024-09-11 16:00:00,23.0,11.47,732.3,0.0,38.6,17.6,18.15,18.7,,100.68
66,2024-09-11 17:00:00,24.44,11.3,547.2,0.0,34.53,18.5,18.75,19.0,,100.61
66,2024-09-11 18:00:00,20.45,10.12,425.3,0.0,32.68,18.8,18.95,19.0,,100.59
66,2024-09-11 19:00:00,21.85,9.08,255.5,0.0,43.1,15.4,17.45,18.9,,100.63
66,2024-09-11 20:00:00,27.79,13.01,33.2,0.0,67.4,12.1,12.95,14.1,,100.68
66,2024-09-11 21:00:00,19.66,7.72,0.0,0.0,76.73,10.4,10.93,11.7,,100.73
66,2024-09-11 22:00:00,13.86,6.14,0.0,0.0,81.73,9.1,9.75,10.2,,100.77
66,2024-09-11 23:00:00,6.41,2.74,0.0,0.0,89.15,7.1,7.88,8.6,,100.77
66,2024-09-12 00:00:00,5.47,3.04,0.0,0.0,93.23,5.6,6.05,6.6,,100.73
66,2024-09-12 01:00:00,6.77,3.11,0.0,0.0,95.35,4.9,5.25,5.7,,100.69
66,2024-09-12 02:00:00,6.23,2.57,0.0,0.0,97.08,4.2,4.43,4.6,,100.66
66,2024-09-12 03:00:00,5.44,2.85,0.0,0.0,97.18,3.8,3.95,4.2,,100.6
66,2024-09-12 04:00:00,4.82,1.71,0.0,0.0,97.98,3.1,3.28,3.5,,100.53
66,2024-09-12 05:00:00,4.57,2.27,0.0,0.0,98.93,2.4,2.83,3.2,,100.48
66,2024-09-12 06:00:00,5.18,2.08,0.0,0.0,98.75,2.0,2.05,2.2,,100.43
66,2024-09-12 07:00:00,3.46,1.87,0.0,0.0,97.95,2.4,2.53,2.6,,100.45
66,2024-09-12 08:00:00,3.31,1.38,4.5,0.0,99.73,2.4,2.45,2.5,,100.5
66,2024-09-12 09:00:00,6.59,2.39,75.2,0.0,99.3,2.7,3.2,3.9,,100.54
66,2024-09-12 10:00:00,4.97,2.06,170.3,0.0,99.33,4.8,5.65,6.8,,100.6
66,2024-09-12 11:00:00,18.54,8.11,411.7,0.0,85.28,7.9,8.75,9.8,,100.64
66,2024-09-12 12:00:00,21.24,8.88,533.9,0.0,66.7,10.7,11.4,12.0,,100.65
66,2024-09-12 13:00:00,19.22,8.62,806.1,0.0,60.13,12.6,13.13,13.6,,100.65
66,2024-09-12 14:00:00,20.09,8.15,886.4,0.0,54.85,14.2,14.75,15.2,,100.62
66,2024-09-12 15:00:00,18.9,7.5,863.4,0.0,50.68,15.4,15.83,16.4,,100.59
66,2024-09-12 16:00:00,34.27,10.42,791.1,0.0,48.38,15.5,16.35,16.8,,100.56
66,2024-09-12 17:00:00,30.28,14.46,637.9,0.0,54.4,15.5,15.58,15.7,,100.57
66,2024-09-12 18:00:00,35.71,14.52,434.9,0.0,57.3,13.4,14.5,15.4,,100.6
66,2024-09-12 19:00:00,31.21,14.0,172.1,0.0,63.03,12.3,12.65,13.0,,100.67
66,2024-09-12 20:00:00,19.48,5.44,30.1,0.0,70.78,10.4,11.25,12.0,,100.78
66,2024-09-12 21:00:00,15.16,6.18,0.0,0.0,75.7,9.7,9.8,10.0,,100.86
66,2024-09-12 22:00:00,11.63,6.21,0.0,0.0,77.65,8.6,9.03,9.4,,100.92
66,2024-09-12 23:00:00,14.33,4.97,0.0,0.0,82.15,7.7,8.23,8.8,,100.96
66,2024-09-13 00:00:00,6.26,3.2,0.0,0.0,88.88,6.4,6.6,6.8,,101.01
66,2024-09-13 01:00:00,5.4,2.72,0.0,0.0,92.95,5.3,5.55,5.8,,101.05
66,2024-09-13 02:00:00,9.14,2.97,0.0,0.0,96.4,4.4,4.83,5.4,,101.08
66,2024-09-13 03:00:00,5.69,2.65,0.0,0.0,97.2,3.8,4.0,4.2,,101.1
66,2024-09-13 04:00:00,6.48,3.06,0.0,0.0,97.8,3.5,3.6,3.8,,101.11
66,2024-09-13 05:00:00,5.47,2.01,0.0,0.0,98.73,2.8,3.05,3.3,,101.09
66,2024-09-13 06:00:00,6.12,3.04,0.0,0.0,98.23,2.5,2.6,2.8,,101.1
66,2024-09-13 07:00:00,7.99,3.92,0.0,0.0,97.78,2.4,2.7,3.1,,101.13
66,2024-09-13 08:00:00,5.47,2.31,5.8,0.0,100.05,1.7,1.83,2.0,,101.16
66,2024-09-13 09:00:00,3.53,1.86,108.3,0.0,100.05,1.8,2.08,2.5,,101.22
66,2024-09-13 10:00:00,5.76,1.93,259.1,0.0,99.85,2.9,3.55,4.3,,101.29
66,2024-09-13 11:00:00,9.68,2.99,505.1,0.0,98.35,5.3,7.05,8.6,,101.34
66,2024-09-13 12:00:00,18.94,6.09,701.7,0.0,77.88,9.8,11.78,13.7,,101.32
66,2024-09-13 13:00:00,22.68,10.26,798.7,0.0,56.98,14.2,15.13,15.9,,101.28
66,2024-09-13 14:00:00,24.37,11.12,801.9,0.0,48.3,16.3,16.9,17.4,,101.24
66,2024-09-13 15:00:00,24.55,11.96,819.1,0.0,40.65,17.6,18.0,18.3,,101.18
66,2024-09-13 16:00:00,24.16,12.49,729.1,0.0,34.08,18.5,18.85,19.3,,101.11
66,2024-09-13 17:00:00,25.96,11.62,541.3,0.0,34.43,19.2,19.4,19.6,,101.09
66,2024-09-13 18:00:00,27.47,11.72,420.7,0.0,38.43,19.0,19.13,19.3,,101.08
66,2024-09-13 19:00:00,19.55,10.04,250.9,0.0,41.03,18.2,18.6,18.9,,101.11
66,2024-09-13 20:00:00,14.65,6.0,31.3,0.0,47.78,14.8,16.3,17.4,,101.16
66,2024-09-13 21:00:00,10.08,6.23,0.0,0.0,54.98,13.5,13.78,14.0,,101.2
66,2024-09-13 22:00:00,10.98,6.49,0.0,0.0,60.68,11.9,12.38,13.1,,101.23
66,2024-09-13 23:00:00,13.07,7.3,0.0,0.0,58.85,12.0,12.58,12.9,,101.22
66,2024-09-14 00:00:00,17.03,8.16,0.0,0.0,61.15,12.0,12.2,12.4,,101.21
66,2024-09-14 01:00:00,15.55,8.11,0.0,0.0,61.38,11.8,11.98,12.1,,101.17
66,2024-09-14 02:00:00,17.42,9.15,0.0,0.0,61.93,11.5,11.68,11.9,,101.12
66,2024-09-14 03:00:00,17.53,9.92,0.0,0.0,64.78,11.0,11.18,11.3,,101.04
66,2024-09-14 04:00:00,23.72,11.54,0.0,0.0,66.08,10.6,10.98,11.2,,100.98
66,2024-09-14 05:00:00,20.16,11.29,0.0,0.0,69.03,9.9,10.23,10.4,,100.9
66,2024-09-14 06:00:00,24.01,9.87,0.0,0.0,70.13,9.5,9.73,9.9,,100.86
66,2024-09-14 07:00:00,23.4,13.06,0.0,0.0,70.95,9.4,9.6,9.8,,100.85
66,2024-09-14 08:00:00,23.69,12.32,7.8,0.0,71.45,8.9,9.15,9.3,,100.86
66,2024-09-14 09:00:00,23.87,11.68,162.7,0.0,70.6,9.1,9.58,10.1,,100.88
66,2024-09-14 10:00:00,32.94,15.52,328.6,0.0,65.63,10.4,11.0,11.6,,100.92
66,2024-09-14 11:00:00,24.77,12.33,539.4,0.0,60.55,12.0,12.63,13.4,,100.94
66,2024-09-14 12:00:00,21.38,11.02,724.2,0.0,55.2,13.7,14.55,15.2,,100.92
66,2024-09-14 13:00:00,20.09,10.54,815.9,0.0,48.53,16.1,16.55,16.9,,100.89
66,2024-09-14 14:00:00,18.61,9.43,819.9,0.0,45.33,17.2,18.1,18.8,,100.83
66,2024-09-14 15:00:00,18.86,8.21,835.8,0.0,40.55,19.4,20.03,20.6,,100.76
66,2024-09-14 16:00:00,20.3,8.59,730.7,0.0,35.45,21.3,21.93,22.6,,100.7
66,2024-09-14 17:00:00,25.09,10.68,547.0,0.0,42.58,20.1,20.98,22.2,,100.7
66,2024-09-14 18:00:00,28.3,11.65,431.5,0.0,47.9,19.1,19.38,19.9,,100.72
66,2024-09-14 19:00:00,29.23,13.66,261.6,0.0,52.03,16.8,17.9,18.7,,100.78
66,2024-09-14 20:00:00,21.46,7.01,38.3,0.0,60.63,13.8,14.83,16.0,,100.89
66,2024-09-14 21:00:00,16.49,8.71,0.0,0.0,69.53,11.8,12.55,13.1,,100.96
66,2024-09-14 22:00:00,12.42,4.93,0.0,0.0,76.05,10.6,11.18,11.5,,101.02
66,2024-09-14 23:00:00,6.44,2.39,0.0,0.0,84.55,8.5,9.2,10.1,,101.09
66,2024-09-15 00:00:00,5.15,2.54,0.0,0.0,90.1,7.2,7.75,8.4,,101.08
66,2024-09-15 01:00:00,5.22,2.56,0.0,0.0,94.2,5.9,6.23,6.6,,101.05
66,2024-09-15 02:00:00,5.94,1.98,0.0,0.0,96.05,4.9,5.25,5.7,,101.03
66,2024-09-15 03:00:00,6.88,2.66,0.0,0.0,96.68,4.4,4.6,4.8,,101.01
66,2024-09-15 04:00:00,8.35,2.83,0.0,0.0,97.85,4.2,4.33,4.6,,101.0
66,2024-09-15 05:00:00,5.94,2.01,0.0,0.0,99.43,3.3,3.58,3.8,,100.97
66,2024-09-15 06:00:00,5.44,2.73,0.0,0.0,96.83,3.5,3.83,4.1,,100.97
66,2024-09-15 07:00:00,11.84,3.57,0.0,0.0,95.4,2.8,4.0,5.6,,100.99
66,2024-09-15 08:00:00,19.22,9.48,8.7,0.0,78.4,8.6,9.4,9.8,,101.06
66,2024-09-15 09:00:00,13.57,4.88,191.1,0.0,77.45,8.8,9.43,9.8,,101.11
66,2024-09-15 10:00:00,27.94,10.7,332.1,0.0,68.95,10.8,11.78,12.4,,101.18
66,2024-09-15 11:00:00,26.64,14.39,542.1,0.0,62.1,12.6,13.4,14.3,,101.18
66,2024-09-15 12:00:00,27.32,14.01,721.1,0.0,54.63,14.6,15.3,16.0,,101.17
66,2024-09-15 13:00:00,28.76,14.92,816.1,0.0,46.68,16.6,17.1,17.6,,101.13
66,2024-09-15 14:00:00,30.56,15.64,822.9,0.0,39.9,18.2,18.83,19.4,,101.06
66,2024-09-15 15:00:00,32.4,15.01,840.7,0.0,34.23,19.6,20.13,20.7,,100.97
66,2024-09-15 16:00:00,24.62,12.13,744.2,0.0,31.78,20.8,21.38,21.9,,100.87
66,2024-09-15 17:00:00,25.6,11.58,554.5,0.0,29.55,22.0,22.58,23.0,,100.81
66,2024-09-15 18:00:00,27.43,12.93,444.2,0.0,27.75,22.4,22.68,22.9,,100.77
66,2024-09-15 19:00:00,25.24,12.89,269.5,0.0,31.58,20.7,21.38,22.0,,100.76
66,2024-09-15 20:00:00,17.21,7.13,47.3,0.0,35.45,18.2,19.0,20.0,,100.81
66,2024-09-15 21:00:00,19.58,10.05,0.0,0.0,37.73,16.7,17.15,17.8,,100.82
66,2024-09-15 22:00:00,19.19,9.52,0.0,0.0,35.78,15.8,16.1,16.6,,100.81
66,2024-09-15 23:00:00,18.32,8.99,0.0,0.0,39.98,15.0,15.28,15.8,,100.8
66,2024-09-16 00:00:00,22.68,12.25,0.0,0.0,44.2,14.6,14.83,15.0,,100.74
66,2024-09-16 01:00:00,20.45,11.82,0.0,0.0,45.38,14.8,14.83,14.9,,100.66
66,2024-09-16 02:00:00,23.22,12.16,0.0,0.0,47.33,14.0,14.38,14.7,,100.59
66,2024-09-16 03:00:00,9.94,3.49,0.0,0.0,54.88,11.5,12.33,13.4,,100.53
66,2024-09-16 04:00:00,26.46,11.77,0.0,0.0,57.08,12.1,12.25,12.4,,100.39
66,2024-09-16 05:00:00,24.73,10.07,0.0,0.0,59.28,10.8,11.73,12.1,,100.29
66,2024-09-16 06:00:00,13.72,6.34,0.0,0.0,62.43,10.5,10.78,11.0,,100.24
66,2024-09-16 07:00:00,25.74,8.77,0.0,0.0,61.28,10.4,10.73,11.0,,100.2
66,2024-09-16 08:00:00,18.72,8.23,12.1,0.0,61.9,9.9,10.25,10.7,,100.19
66,2024-09-16 09:00:00,22.32,10.03,106.6,0.0,62.88,10.1,10.13,10.2,,100.15
66,2024-09-16 10:00:00,21.46,10.08,266.9,0.0,60.05,10.4,11.2,12.0,,100.09
66,2024-09-16 11:00:00,26.68,12.8,481.9,0.0,49.8,13.3,13.83,14.2,,100.04
66,2024-09-16 12:00:00,21.35,11.47,615.0,0.0,44.78,14.6,15.43,15.9,,99.97
66,2024-09-16 13:00:00,18.65,9.22,551.2,0.0,40.9,16.3,16.7,17.5,,99.96
66,2024-09-16 14:00:00,15.48,7.06,523.5,0.0,37.63,17.9,18.05,18.2,,99.94
66,2024-09-16 15:00:00,15.98,8.9,471.6,0.0,37.28,18.7,18.88,19.2,,99.9
66,2024-09-16 16:00:00,13.64,6.27,455.7,0.0,36.35,19.4,19.73,20.0,,99.88
66,2024-09-16 17:00:00,16.88,6.7,418.6,0.0,42.05,19.4,19.73,20.2,,99.87
66,2024-09-16 18:00:00,16.24,7.61,334.5,0.0,45.05,19.0,19.3,19.6,,99.9
66,2024-09-16 19:00:00,17.06,8.79,284.7,0.0,46.43,18.2,18.73,19.0,,99.95
66,2024-09-16 20:00:00,16.34,8.74,50.3,0.0,53.33,15.9,16.85,17.7,,100.03
66,2024-09-16 21:00:00,23.08,11.39,0.0,0.0,63.88,13.2,14.3,15.5,,100.09
66,2024-09-16 22:00:00,25.06,11.41,0.0,0.0,72.63,12.2,12.35,12.6,,100.15
66,2024-09-16 23:00:00,22.86,11.04,0.0,0.0,75.35,11.4,11.83,12.1,,100.2
66,2024-09-17 00:00:00,21.53,7.83,0.0,0.0,83.9,10.0,10.48,11.0,,100.26
66,2024-09-17 01:00:00,18.32,7.59,0.0,0.0,89.85,9.7,9.78,9.8,,100.3
66,2024-09-17 02:00:00,23.33,11.04,0.0,0.0,93.45,9.5,9.5,9.5,,100.38
66,2024-09-17 03:00:00,15.23,4.6,0.0,0.0,95.1,8.4,8.75,9.5,,100.5
66,2024-09-17 04:00:00,11.7,5.34,0.0,0.0,93.93,8.7,9.1,9.4,,100.54
66,2024-09-17 05:00:00,14.69,5.77,0.0,0.0,91.03,9.6,9.6,9.6,,100.59
66,2024-09-17 06:00:00,6.95,3.2,0.0,0.0,88.8,9.7,9.75,9.8,,100.64
66,2024-09-17 07:00:00,6.95,3.05,0.0,0.0,91.13,7.8,8.48,9.2,,100.67
66,2024-09-17 08:00:00,11.38,4.54,7.4,0.0,96.03,5.8,6.23,6.8,,100.69
