idEstacion,fecha,velocidadMaximaViento,velocidadPromedioViento,radiacion,precipitacion,humedadRelativa,tempMinima,tempMedia,tempMaxima,dpv,presion
17,2024-01-01 00:00:00,4.82,2.41,0.0,0.0,72.88,15.1,15.85,16.5,,96.23
17,2024-01-01 01:00:00,5.08,2.46,0.0,0.0,78.45,14.0,14.45,14.8,,96.21
17,2024-01-01 02:00:00,4.79,1.76,0.0,0.0,82.1,13.5,13.58,13.7,,96.17
17,2024-01-01 03:00:00,4.61,1.64,0.0,0.0,86.4,12.7,13.15,13.5,,96.14
17,2024-01-01 04:00:00,4.82,2.28,0.0,0.0,90.03,11.5,11.98,12.5,,96.1
17,2024-01-01 05:00:00,4.72,2.87,0.0,0.0,91.2,11.0,11.15,11.4,,96.06
17,2024-01-01 06:00:00,5.33,2.95,0.0,0.0,92.55,10.6,10.78,10.9,,96.08
17,2024-01-01 07:00:00,5.87,3.67,10.1,0.0,93.05,10.3,10.48,10.6,,96.1
17,2024-01-01 08:00:00,5.8,2.74,166.8,0.0,95.78,10.5,11.43,12.6,,96.09
17,2024-01-01 09:00:00,8.71,2.88,351.4,0.0,92.85,13.2,14.08,14.9,,96.09
17,2024-01-01 10:00:00,8.06,3.15,570.7,0.0,79.48,15.6,16.8,17.9,,96.08
17,2024-01-01 11:00:00,11.63,4.57,771.3,0.0,68.6,18.8,19.5,20.4,,96.05
17,2024-01-01 12:00:00,11.63,4.78,876.4,0.0,60.08,21.0,22.05,23.0,,96.04
17,2024-01-01 13:00:00,13.68,5.04,1004.7,0.0,51.2,23.4,24.45,25.3,,96.03
17,2024-01-01 14:00:00,16.7,5.74,1020.7,0.0,43.73,26.1,26.9,27.8,,96.03
17,2024-01-01 15:00:00,15.3,5.59,1009.3,0.0,37.65,28.0,28.6,29.3,,96.0
17,2024-01-01 16:00:00,15.91,6.01,953.6,0.0,33.0,29.5,29.8,30.0,,95.96
17,2024-01-01 17:00:00,18.97,7.02,796.8,0.0,29.6,30.2,30.35,30.4,,95.92
17,2024-01-01 18:00:00,19.62,7.77,656.3,0.0,32.68,29.4,29.95,30.4,,95.89
17,2024-01-01 19:00:00,19.76,6.36,407.2,0.0,38.35,27.3,28.05,28.9,,95.9
17,2024-01-01 20:00:00,13.18,5.2,244.0,0.0,44.2,25.0,25.88,26.8,,95.94
17,2024-01-01 21:00:00,11.48,5.65,33.0,0.0,50.8,21.6,22.75,24.0,,96.03
17,2024-01-01 22:00:00,7.06,2.88,0.0,0.0,58.4,19.2,19.98,20.9,,96.11
17,2024-01-01 23:00:00,5.87,2.43,0.0,0.0,64.05,17.1,17.95,18.7,,96.16
17,2024-01-02 00:00:00,4.54,2.42,0.0,0.0,71.55,15.2,15.9,16.5,,96.18
17,2024-01-02 01:00:00,4.64,2.57,0.0,0.0,79.53,13.8,14.25,14.7,,96.17
17,2024-01-02 02:00:00,6.44,2.4,0.0,0.0,83.28,13.2,13.48,13.6,,96.13
17,2024-01-02 03:00:00,5.44,2.42,0.0,0.0,87.0,12.4,12.88,13.1,,96.08
17,2024-01-02 04:00:00,4.43,2.18,0.0,0.0,88.05,11.9,11.98,12.1,,96.03
17,2024-01-02 05:00:00,3.6,2.09,0.0,0.0,91.78,11.4,11.7,12.0,,96.02
17,2024-01-02 06:00:00,5.04,3.0,0.0,0.0,93.68,10.8,10.95,11.1,,96.01
17,2024-01-02 07:00:00,5.76,3.57,9.3,0.0,94.48,10.6,10.78,10.9,,96.03
17,2024-01-02 08:00:00,4.28,2.39,165.2,0.0,96.65,10.6,11.45,12.6,,96.01
17,2024-01-02 09:00:00,7.74,2.8,352.3,0.0,91.43,13.7,14.68,15.8,,95.96
17,2024-01-02 10:00:00,10.26,3.73,566.8,0.0,76.4,16.6,17.93,19.0,,95.94
17,2024-01-02 11:00:00,10.19,4.0,769.7,0.0,66.65,19.7,20.65,21.6,,95.9
17,2024-01-02 12:00:00,14.8,5.13,869.3,0.0,58.78,22.0,23.23,24.4,,95.89
17,2024-01-02 13:00:00,13.93,3.95,994.8,0.0,49.7,25.3,25.95,27.0,,95.87
17,2024-01-02 14:00:00,16.49,5.41,1018.4,0.0,42.05,27.6,28.2,28.8,,95.85
17,2024-01-02 15:00:00,19.3,5.33,1012.1,0.0,37.7,29.1,29.73,30.1,,95.82
17,2024-01-02 16:00:00,18.18,4.61,946.1,0.0,36.38,30.7,31.03,31.2,,95.78
17,2024-01-02 17:00:00,15.8,4.08,777.3,0.0,34.63,31.2,31.55,31.9,,95.75
