idEstacion,fecha,velocidadMaximaViento,velocidadPromedioViento,radiacion,precipitacion,humedadRelativa,tempMinima,tempMedia,tempMaxima,dpv,presion
50,2025-01-17 00:00:00,0.28,0.0,0.0,0.0,73.98,14.81,15.6,16.49,0.46,
50,2025-01-17 01:00:00,0.0,0.0,0.0,0.0,81.32,13.27,13.85,14.46,0.3,
50,2025-01-17 02:00:00,0.0,0.0,0.0,0.0,85.33,11.97,12.44,12.89,0.21,
50,2025-01-17 03:00:00,0.5,0.0,0.0,0.0,88.08,11.0,11.36,11.67,0.16,
50,2025-01-17 04:00:00,0.0,0.0,0.0,0.0,89.25,10.29,10.56,10.89,0.14,
50,2025-01-17 05:00:00,0.0,0.0,0.0,0.0,90.48,9.72,9.94,10.15,0.12,
50,2025-01-17 06:00:00,0.0,0.0,6.28,0.0,91.65,9.31,9.42,9.57,0.1,
50,2025-01-17 07:00:00,0.88,0.03,163.5,0.0,84.7,9.33,11.45,14.35,0.22,
50,2025-01-17 08:00:00,1.62,0.22,352.7,0.0,57.45,16.08,17.67,19.36,0.87,
50,2025-01-17 09:00:00,2.9,0.73,557.6,0.0,47.97,19.7,20.32,21.01,1.24,
50,2025-01-17 10:00:00,2.6,0.9,761.0,0.0,44.52,21.36,21.78,22.4,1.45,
50,2025-01-17 11:00:00,2.52,0.91,689.9,0.0,43.05,22.66,23.26,24.07,1.63,
50,2025-01-17 12:00:00,2.75,1.07,1073.0,0.0,37.67,24.34,25.31,26.28,2.02,
50,2025-01-17 13:00:00,3.5,1.05,1021.0,0.0,33.44,26.84,27.4,28.09,2.43,
50,2025-01-17 14:00:00,3.72,1.36,1141.0,0.0,28.07,29.3,29.71,30.36,3.0,
50,2025-01-17 15:00:00,3.5,1.33,1036.0,0.0,27.71,28.94,29.95,30.41,3.06,
50,2025-01-17 16:00:00,4.18,1.53,938.0,0.0,28.05,29.81,30.72,31.14,3.18,
50,2025-01-17 17:00:00,4.7,1.95,833.0,0.0,29.5,30.78,31.06,31.5,3.18,
50,2025-01-17 18:00:00,3.95,1.22,516.6,0.0,29.42,30.58,30.84,31.04,3.14,
50,2025-01-17 19:00:00,4.4,1.77,253.6,0.0,29.76,27.05,28.32,29.7,2.71,
50,2025-01-17 20:00:00,3.8,1.52,82.1,0.0,36.1,23.77,24.87,26.05,2.02,
50,2025-01-17 21:00:00,3.28,0.98,6.53,0.0,41.98,21.62,22.36,23.17,1.57,
50,2025-01-17 22:00:00,1.48,0.16,0.0,0.0,52.22,19.59,20.11,20.96,1.13,
50,2025-01-17 23:00:00,1.55,0.16,0.0,0.0,57.2,17.25,17.9,18.69,0.88,
50,2025-01-18 00:00:00,0.8,0.02,0.0,0.0,67.27,14.63,16.08,17.64,0.61,
50,2025-01-18 01:00:00,0.28,0.0,0.0,0.0,79.28,12.51,13.17,13.94,0.31,
50,2025-01-18 02:00:00,0.0,0.0,0.0,0.0,83.93,11.36,11.75,12.17,0.22,
50,2025-01-18 03:00:00,0.28,0.0,0.0,0.0,87.45,10.95,11.02,11.16,0.17,
50,2025-01-18 04:00:00,0.0,0.0,0.0,0.0,88.75,10.15,10.46,10.78,0.14,
50,2025-01-18 05:00:00,0.0,0.0,0.0,0.0,90.28,9.52,9.68,9.93,0.12,
50,2025-01-18 06:00:00,0.0,0.0,5.68,0.0,91.75,9.05,9.2,9.37,0.1,
50,2025-01-18 07:00:00,0.8,0.02,155.1,0.0,83.93,9.16,11.1,13.75,0.22,
50,2025-01-18 08:00:00,1.1,0.07,347.5,0.0,58.03,15.76,17.23,18.88,0.84,
50,2025-01-18 09:00:00,2.0,0.67,556.2,0.0,46.99,19.42,19.79,20.35,1.22,
50,2025-01-18 10:00:00,2.6,0.83,741.8,0.0,43.14,20.66,21.26,21.77,1.44,
50,2025-01-18 11:00:00,3.12,1.23,880.0,0.0,42.08,22.18,22.91,23.7,1.62,
50,2025-01-18 12:00:00,3.2,1.3,977.0,0.0,37.06,24.39,25.07,25.98,2.01,
50,2025-01-18 13:00:00,4.1,1.56,1006.0,0.0,33.71,26.59,27.15,27.66,2.39,
50,2025-01-18 14:00:00,3.8,1.47,988.0,0.0,30.0,28.61,28.99,29.4,2.8,
50,2025-01-18 15:00:00,3.95,1.06,971.0,0.0,25.25,29.87,30.35,30.83,3.24,
50,2025-01-18 16:00:00,3.95,1.09,866.0,0.0,23.33,30.8,31.2,31.75,3.49,
50,2025-01-18 17:00:00,3.88,1.34,725.9,0.0,23.74,31.44,31.58,31.9,3.54,
50,2025-01-18 18:00:00,4.62,2.06,529.7,0.0,28.6,30.41,30.81,31.09,3.18,
50,2025-01-18 19:00:00,4.25,2.12,335.5,0.0,28.33,27.94,29.0,29.9,2.87,
50,2025-01-18 20:00:00,4.03,1.6,133.4,0.0,30.61,24.65,25.82,26.91,2.31,
50,2025-01-18 21:00:00,1.62,0.22,4.56,0.0,37.15,21.16,22.31,23.88,1.7,
50,2025-01-18 22:00:00,2.0,0.44,0.0,0.0,37.75,20.15,20.73,21.37,1.53,
50,2025-01-18 23:00:00,1.02,0.11,0.0,0.0,58.7,15.0,17.06,19.03,0.83,
50,2025-01-19 00:00:00,0.42,0.0,0.0,0.0,74.88,13.01,13.68,14.18,0.4,
50,2025-01-19 01:00:00,0.0,0.0,0.0,0.0,82.01,11.46,11.97,12.51,0.25,
50,2025-01-19 02:00:00,0.72,0.02,0.0,0.0,84.53,10.41,10.74,11.1,0.2,
50,2025-01-19 03:00:00,0.72,0.02,0.0,0.0,86.63,9.49,9.77,10.13,0.16,
50,2025-01-19 04:00:00,0.57,0.0,0.0,0.0,89.05,8.73,9.03,9.34,0.13,
50,2025-01-19 05:00:00,0.95,0.04,0.0,0.0,89.53,8.15,8.43,8.69,0.11,
50,2025-01-19 06:00:00,0.72,0.01,5.5,0.0,91.13,7.56,7.78,8.02,0.1,
50,2025-01-19 07:00:00,0.0,0.0,163.6,0.0,82.53,7.58,9.76,12.64,0.23,
50,2025-01-19 08:00:00,0.88,0.03,356.8,0.0,55.5,14.85,16.75,18.31,0.86,
50,2025-01-19 09:00:00,1.62,0.38,570.2,0.0,43.82,19.76,21.04,22.0,1.4,
50,2025-01-19 10:00:00,2.52,0.89,757.4,0.0,40.42,22.43,23.13,24.18,1.69,
50,2025-01-19 11:00:00,2.6,1.02,865.0,0.0,35.44,24.92,26.06,26.87,2.18,
50,2025-01-19 12:00:00,3.58,1.5,995.0,0.0,30.02,27.82,28.77,29.56,2.77,
