idEstacion,fecha,velocidadMaximaViento,velocidadPromedioViento,radiacion,precipitacion,humedadRelativa,tempMinima,tempMedia,tempMaxima,dpv,presion
54,2025-01-17 00:00:00,1.1,0.11,0.0,0.0,66.56,15.32,15.97,16.6,0.61,
54,2025-01-17 01:00:00,0.57,0.02,0.0,0.0,76.63,13.76,14.26,15.0,0.38,
54,2025-01-17 02:00:00,0.65,0.01,0.0,0.0,77.46,13.07,13.32,13.54,0.34,
54,2025-01-17 03:00:00,1.92,0.1,0.0,0.0,78.22,12.76,13.01,13.31,0.33,
54,2025-01-17 04:00:00,2.45,0.21,0.0,0.0,71.0,12.74,13.64,14.14,0.46,
54,2025-01-17 05:00:00,2.38,0.55,0.0,0.0,69.25,13.26,13.67,13.9,0.48,
54,2025-01-17 06:00:00,3.2,1.63,6.91,0.0,65.24,14.0,14.08,14.22,0.56,
54,2025-01-17 07:00:00,5.6,2.01,166.0,0.0,60.97,13.99,14.52,15.07,0.65,
54,2025-01-17 08:00:00,4.47,2.7,375.0,0.0,56.22,15.35,15.83,16.25,0.79,
54,2025-01-17 09:00:00,4.18,2.45,583.3,0.0,51.28,16.65,17.4,18.09,0.97,
54,2025-01-17 10:00:00,4.18,2.22,763.0,0.0,46.94,18.62,19.6,20.77,1.21,
54,2025-01-17 11:00:00,5.3,2.43,887.0,0.0,43.58,20.77,21.56,22.09,1.46,
54,2025-01-17 12:00:00,5.15,2.16,1030.0,0.0,40.36,22.81,23.53,24.64,1.74,
54,2025-01-17 13:00:00,4.25,1.91,1018.0,0.0,36.57,24.95,25.61,26.68,2.08,
54,2025-01-17 14:00:00,4.1,1.75,990.0,0.0,31.84,26.55,27.09,27.83,2.44,
54,2025-01-17 15:00:00,4.4,1.5,961.0,0.0,29.31,28.3,28.76,29.04,2.79,
54,2025-01-17 16:00:00,4.1,1.85,877.0,0.0,25.82,28.96,29.32,29.88,3.03,
54,2025-01-17 17:00:00,3.95,2.21,898.0,0.0,26.55,29.08,29.83,30.17,3.09,
54,2025-01-17 18:00:00,3.8,1.92,623.8,0.0,26.97,28.97,29.36,29.75,2.99,
54,2025-01-17 19:00:00,4.18,1.18,480.9,0.0,23.53,29.44,29.96,30.31,3.24,
54,2025-01-17 20:00:00,5.15,2.5,208.6,0.0,29.65,24.94,26.9,28.56,2.5,
54,2025-01-17 21:00:00,4.1,2.24,14.5,0.0,33.79,21.89,22.63,23.54,1.82,
54,2025-01-17 22:00:00,3.65,2.05,0.0,0.0,40.01,19.5,20.31,21.2,1.43,
54,2025-01-17 23:00:00,3.42,1.96,0.0,0.0,48.07,17.69,18.32,19.02,1.1,
54,2025-01-18 00:00:00,2.08,0.68,0.0,0.0,54.62,16.18,16.78,17.33,0.87,
54,2025-01-18 01:00:00,0.65,0.01,0.0,0.0,66.59,14.32,14.8,15.68,0.56,
54,2025-01-18 02:00:00,1.48,0.32,0.0,0.0,61.99,14.26,14.79,15.56,0.64,
54,2025-01-18 03:00:00,3.42,0.82,0.0,0.0,57.9,15.43,15.61,15.75,0.75,
54,2025-01-18 04:00:00,4.4,2.4,0.0,0.0,57.87,15.26,15.64,15.9,0.75,
54,2025-01-18 05:00:00,4.25,2.18,0.0,0.0,62.3,14.17,14.54,14.95,0.63,
54,2025-01-18 06:00:00,4.78,1.9,6.34,0.0,65.49,13.37,13.68,14.0,0.54,
54,2025-01-18 07:00:00,4.25,2.23,156.4,0.0,64.51,13.39,13.8,14.28,0.56,
54,2025-01-18 08:00:00,4.92,2.83,365.9,0.0,60.1,14.63,15.19,15.7,0.69,
54,2025-01-18 09:00:00,5.22,2.73,576.1,0.0,55.79,16.3,16.92,17.68,0.85,
54,2025-01-18 10:00:00,4.85,2.65,759.4,0.0,50.87,18.15,18.88,19.59,1.08,
54,2025-01-18 11:00:00,5.15,2.08,901.0,0.0,45.62,19.89,20.95,21.8,1.35,
54,2025-01-18 12:00:00,4.4,2.15,991.0,0.0,40.7,22.47,23.16,24.04,1.69,
54,2025-01-18 13:00:00,4.78,2.66,1021.0,0.0,33.87,24.21,25.23,26.06,2.13,
54,2025-01-18 14:00:00,5.45,2.71,1017.0,0.0,28.99,26.46,26.97,27.51,2.53,
54,2025-01-18 15:00:00,4.92,2.06,971.0,0.0,26.91,27.88,28.29,28.93,2.81,
54,2025-01-18 16:00:00,4.1,1.73,875.0,0.0,25.12,29.1,29.26,29.51,3.04,
54,2025-01-18 17:00:00,3.5,1.33,726.4,0.0,24.19,29.81,29.97,30.16,3.21,
54,2025-01-18 18:00:00,3.72,1.55,538.4,0.0,23.27,29.47,30.03,30.39,3.26,
54,2025-01-18 19:00:00,3.42,1.32,326.3,0.0,25.6,28.16,29.28,29.99,3.03,
54,2025-01-18 20:00:00,4.85,2.56,128.3,0.0,30.56,23.53,25.11,26.6,2.22,
54,2025-01-18 21:00:00,4.18,2.22,5.26,0.0,34.89,20.57,21.71,22.77,1.7,
54,2025-01-18 22:00:00,3.35,1.56,0.0,0.0,39.1,19.03,19.53,20.07,1.38,
54,2025-01-18 23:00:00,1.92,0.55,0.0,0.0,50.1,16.14,17.43,18.59,1.0,
54,2025-01-19 00:00:00,1.02,0.03,0.0,0.0,66.42,13.71,14.26,14.99,0.55,
54,2025-01-19 01:00:00,0.65,0.01,0.0,0.0,76.83,12.02,12.58,13.16,0.34,
54,2025-01-19 02:00:00,1.25,0.23,0.0,0.0,74.03,11.51,12.13,12.66,0.37,
54,2025-01-19 03:00:00,1.1,0.12,0.0,0.0,76.8,10.93,11.35,11.67,0.31,
54,2025-01-19 04:00:00,1.92,0.32,0.0,0.0,73.88,10.76,11.52,12.59,0.36,
