idEstacion,fecha,velocidadMaximaViento,velocidadPromedioViento,radiacion,precipitacion,humedadRelativa,tempMinima,tempMedia,tempMaxima,dpv,presion
18,2024-01-01 00:00:00,10.87,7.88,0.0,0.0,82.58,13.0,13.6,14.4,,99.71
18,2024-01-01 01:00:00,8.5,6.59,0.0,0.0,86.8,11.6,12.08,12.5,,99.68
18,2024-01-01 02:00:00,8.86,6.31,0.0,0.0,89.63,10.7,11.05,11.4,,99.62
18,2024-01-01 03:00:00,9.18,7.46,0.0,0.0,91.95,10.1,10.25,10.4,,99.56
18,2024-01-01 04:00:00,8.89,6.5,0.0,0.0,93.5,9.5,9.7,9.9,,99.51
18,2024-01-01 05:00:00,8.5,5.9,0.0,0.0,94.5,9.3,9.35,9.4,,99.51
18,2024-01-01 06:00:00,8.89,5.91,0.0,0.0,95.85,8.8,8.98,9.1,,99.51
18,2024-01-01 07:00:00,8.21,5.96,8.4,0.0,96.13,8.3,8.38,8.5,,99.53
18,2024-01-01 08:00:00,15.66,8.12,163.4,0.0,96.25,8.3,10.1,12.2,,99.56
18,2024-01-01 09:00:00,16.38,12.14,378.2,0.02,90.73,13.5,14.63,15.6,,99.57
18,2024-01-01 10:00:00,18.32,8.19,600.6,0.0,77.98,16.6,17.35,18.2,,99.56
18,2024-01-01 11:00:00,13.61,5.02,740.8,0.0,68.33,18.9,19.53,20.0,,99.53
18,2024-01-01 12:00:00,15.66,5.77,909.6,0.0,60.53,20.6,21.68,22.8,,99.51
18,2024-01-01 13:00:00,17.78,6.44,1040.8,0.0,52.55,23.2,24.18,25.1,,99.51
18,2024-01-01 14:00:00,22.43,5.99,1071.9,0.0,44.43,25.6,26.43,27.2,,99.48
18,2024-01-01 15:00:00,20.27,7.28,1063.4,0.0,41.78,27.4,27.6,27.8,,99.46
18,2024-01-01 16:00:00,23.22,9.32,997.7,0.0,42.58,27.0,27.13,27.4,,99.46
18,2024-01-01 17:00:00,26.1,10.02,868.0,0.0,42.23,26.1,26.48,26.7,,99.46
18,2024-01-01 18:00:00,22.25,9.76,602.8,0.0,43.28,25.4,25.78,26.0,,99.44
18,2024-01-01 19:00:00,22.39,9.41,498.0,0.0,44.75,24.4,24.78,25.3,,99.43
18,2024-01-01 20:00:00,20.34,9.62,286.4,0.0,45.93,22.5,23.3,24.0,,99.46
18,2024-01-01 21:00:00,23.0,9.14,78.6,0.0,55.53,18.6,20.28,21.7,,99.55
18,2024-01-01 22:00:00,16.45,9.05,0.0,0.0,71.53,16.0,16.83,17.7,,99.62
18,2024-01-01 23:00:00,14.11,9.11,0.0,0.0,80.7,14.5,15.03,15.6,,99.63
18,2024-01-02 00:00:00,11.34,8.83,0.0,0.0,85.38,13.2,13.75,14.3,,99.64
18,2024-01-02 01:00:00,10.48,7.07,0.0,0.0,87.6,12.1,12.5,13.0,,99.61
18,2024-01-02 02:00:00,9.5,6.24,0.0,0.0,89.95,11.2,11.48,11.8,,99.57
18,2024-01-02 03:00:00,9.32,6.99,0.0,0.0,91.8,10.7,10.83,11.0,,99.54
18,2024-01-02 04:00:00,9.43,7.6,0.0,0.0,93.23,9.9,10.23,10.5,,99.49
18,2024-01-02 05:00:00,8.71,6.88,0.0,0.0,94.08,9.6,9.65,9.8,,99.44
18,2024-01-02 06:00:00,8.6,5.69,0.0,0.0,95.58,9.0,9.23,9.4,,99.44
18,2024-01-02 07:00:00,7.67,5.41,10.9,0.0,95.48,8.7,8.78,8.8,,99.45
18,2024-01-02 08:00:00,12.42,8.77,158.1,0.0,96.8,9.0,10.5,12.1,,99.45
18,2024-01-02 09:00:00,16.67,11.4,373.8,0.02,90.8,13.2,14.75,16.2,,99.44
18,2024-01-02 10:00:00,15.84,6.93,593.8,0.0,78.25,17.0,17.65,18.4,,99.42
18,2024-01-02 11:00:00,13.03,4.98,733.2,0.0,69.08,19.3,20.13,21.1,,99.37
18,2024-01-02 12:00:00,11.63,4.92,907.9,0.0,60.6,21.7,22.7,23.5,,99.33
18,2024-01-02 13:00:00,12.42,4.61,1040.9,0.0,51.03,24.4,25.4,26.4,,99.3
18,2024-01-02 14:00:00,17.24,5.84,1067.3,0.0,42.8,26.8,27.65,28.4,,99.3
18,2024-01-02 15:00:00,21.92,6.89,1065.0,0.0,33.95,28.7,29.48,30.2,,99.27
18,2024-01-02 16:00:00,26.24,8.16,1004.5,0.0,38.75,28.7,29.45,30.4,,99.23
18,2024-01-02 17:00:00,24.7,8.07,868.9,0.0,44.25,28.7,28.85,29.0,,99.2
18,2024-01-02 18:00:00,22.57,8.12,595.8,0.0,46.78,27.6,28.3,28.9,,99.18
18,2024-01-02 19:00:00,23.0,6.76,485.7,0.0,48.5,26.3,26.98,27.4,,99.18
