idEstacion,fecha,velocidadMaximaViento,velocidadPromedioViento,radiacion,precipitacion,humedadRelativa,tempMinima,tempMedia,tempMaxima,dpv,presion
310,2025-07-25 22:00:00,0.8,0.1,,0.0,98.76,9.2,9.34,9.52,0.02,
310,2025-07-25 23:00:00,0.8,0.1,,0.0,99.8,8.97,9.12,9.29,0.0,
310,2025-07-26 00:00:00,1.2,0.07,,0.0,99.9,8.74,8.89,9.0,0.0,
310,2025-07-26 01:00:00,0.9,0.12,,0.0,99.99,8.76,8.98,9.1,0.0,
310,2025-07-26 02:00:00,1.1,0.12,,0.0,99.93,8.6,8.83,8.99,0.0,
310,2025-07-26 03:00:00,1.0,0.07,,0.0,99.98,8.46,8.56,8.76,0.0,
310,2025-07-26 04:00:00,0.5,0.02,,0.0,99.97,7.97,8.11,8.3,0.0,
310,2025-07-26 05:00:00,0.4,0.02,,0.0,99.97,7.47,7.79,8.15,0.0,
310,2025-07-26 06:00:00,0.6,0.02,,0.0,99.96,7.08,7.26,7.57,0.0,
310,2025-07-26 07:00:00,0.7,0.05,,0.0,99.96,6.9,7.13,7.42,0.0,
310,2025-07-26 08:00:00,1.1,0.1,,0.0,99.96,7.09,7.27,7.65,0.0,
310,2025-07-26 09:00:00,0.8,0.02,,0.2,99.96,7.34,7.56,7.79,0.0,
310,2025-07-26 10:00:00,0.4,0.0,,0.0,99.96,7.69,8.38,9.15,0.0,
310,2025-07-26 11:00:00,0.7,0.08,,0.0,99.96,9.26,9.34,9.43,0.0,
310,2025-07-26 12:00:00,1.0,0.18,,0.0,98.16,9.36,10.3,11.08,0.03,
310,2025-07-26 13:00:00,1.7,0.5,,0.0,91.84,11.29,11.51,11.68,0.11,
310,2025-07-26 14:00:00,1.5,0.47,,0.0,88.47,12.0,12.34,12.62,0.17,
310,2025-07-26 15:00:00,2.2,0.63,,0.0,85.4,12.66,12.95,13.14,0.22,
310,2025-07-26 16:00:00,2.2,0.45,,0.0,84.43,12.62,12.83,13.02,0.23,
310,2025-07-26 17:00:00,2.7,0.53,,0.0,85.73,12.41,12.65,12.88,0.21,
310,2025-07-26 18:00:00,1.4,0.1,,0.0,88.64,11.46,12.24,12.83,0.16,
310,2025-07-26 19:00:00,1.2,0.2,,0.0,98.0,9.45,10.11,11.1,0.03,
310,2025-07-26 20:00:00,0.8,0.08,,0.0,99.99,8.64,9.09,9.37,0.0,
310,2025-07-26 21:00:00,1.2,0.13,,0.0,99.98,8.94,9.12,9.29,0.0,
310,2025-07-26 22:00:00,0.5,0.02,,0.0,99.97,8.66,8.93,9.1,0.0,
310,2025-07-26 23:00:00,1.3,0.18,,0.0,98.99,9.04,9.79,10.38,0.01,
310,2025-07-27 00:00:00,2.1,0.52,,0.0,94.68,10.09,10.36,10.55,0.07,
310,2025-07-27 01:00:00,1.1,0.2,,0.0,96.14,9.75,9.97,10.19,0.05,
310,2025-07-27 02:00:00,1.1,0.13,,0.0,99.31,8.51,9.01,9.78,0.01,
310,2025-07-27 03:00:00,1.8,0.15,,0.0,99.96,8.4,8.5,8.6,0.0,
310,2025-07-27 04:00:00,0.8,0.12,,0.0,99.96,8.38,8.43,8.53,0.0,
310,2025-07-27 05:00:00,1.4,0.13,,0.0,99.96,8.63,8.65,8.68,0.0,
310,2025-07-27 06:00:00,2.5,0.45,,0.0,99.96,8.56,8.74,8.89,0.0,
310,2025-07-27 07:00:00,1.8,0.3,,0.0,99.97,8.59,8.76,8.87,0.0,
310,2025-07-27 08:00:00,0.9,0.13,,0.0,99.98,8.74,8.94,9.29,0.0,
310,2025-07-27 09:00:00,0.8,0.08,,0.0,99.98,9.1,9.24,9.36,0.0,
310,2025-07-27 10:00:00,1.6,0.08,,0.0,97.44,9.45,10.15,11.08,0.03,
310,2025-07-27 11:00:00,1.8,0.48,,0.0,88.27,11.12,11.56,12.09,0.16,
310,2025-07-27 12:00:00,2.5,0.4,,0.0,80.66,12.15,12.52,12.9,0.28,
310,2025-07-27 13:00:00,2.2,0.3,,0.0,78.13,12.08,12.42,12.8,0.31,
310,2025-07-27 14:00:00,3.0,0.97,2690.0,0.0,79.23,12.18,12.61,13.04,0.3,
310,2025-07-27 15:00:00,2.1,0.47,,0.0,77.1,12.46,12.57,12.64,0.33,
310,2025-07-27 16:00:00,1.5,0.33,,0.0,76.29,12.46,12.65,12.95,0.35,
310,2025-07-27 17:00:00,1.3,0.07,,0.0,75.59,12.56,12.96,13.25,0.37,
310,2025-07-27 18:00:00,0.5,0.07,,0.0,82.4,11.68,12.12,12.44,0.25,
310,2025-07-27 19:00:00,0.8,0.03,,0.0,89.2,10.93,11.14,11.38,0.14,
310,2025-07-27 20:00:00,1.0,0.08,,0.0,91.43,10.48,10.79,11.05,0.11,
310,2025-07-27 21:00:00,1.4,0.35,,0.0,93.18,10.46,10.58,10.77,0.09,
310,2025-07-27 22:00:00,1.5,0.38,,0.0,92.4,10.57,10.75,11.06,0.1,
310,2025-07-27 23:00:00,1.3,0.18,,0.0,95.45,9.82,10.21,10.73,0.06,
310,2025-07-28 00:00:00,1.3,0.27,,0.0,94.47,9.88,10.12,10.34,0.07,
310,2025-07-28 01:00:00,1.1,0.22,,0.0,92.1,9.72,10.09,10.56,0.1,
310,2025-07-28 02:00:00,1.0,0.2,,0.0,91.88,9.64,10.04,10.78,0.1,
310,2025-07-28 03:00:00,0.9,0.05,,0.0,88.36,10.24,10.57,11.18,0.15,
310,2025-07-28 04:00:00,1.1,0.13,,0.0,89.8,9.27,10.45,12.5,0.14,
310,2025-07-28 05:00:00,0.6,0.05,,0.0,98.06,9.07,9.29,9.53,0.02,
310,2025-07-28 06:00:00,0.9,0.07,,0.0,99.99,8.72,8.88,9.02,0.0,
310,2025-07-28 07:00:00,0.5,0.0,,0.0,99.98,8.47,8.66,8.89,0.0,
310,2025-07-28 08:00:00,0.5,0.05,,0.0,99.98,8.32,8.47,8.61,0.0,
310,2025-07-28 09:00:00,0.7,0.08,,0.0,99.98,8.01,8.59,9.51,0.0,
310,2025-07-28 10:00:00,0.9,0.08,,0.0,80.77,10.32,12.56,14.16,0.29,
310,2025-07-28 11:00:00,1.0,0.1,,0.0,66.64,14.48,14.79,15.15,0.56,
310,2025-07-28 12:00:00,1.1,0.28,,0.0,58.76,15.11,16.28,17.23,0.77,
310,2025-07-28 13:00:00,1.5,0.42,,0.0,48.93,17.97,18.81,19.44,1.11,
310,2025-07-28 14:00:00,2.2,0.93,,0.0,50.36,18.68,18.89,19.13,1.08,
310,2025-07-28 15:00:00,1.7,0.54,,0.0,48.9,18.54,18.9,19.18,1.12,
310,2025-07-28 16:00:00,1.1,0.15,,0.0,48.51,19.22,19.74,20.26,1.19,
310,2025-07-28 17:00:00,1.0,0.12,,0.0,54.42,18.91,19.38,19.67,1.03,
310,2025-07-28 18:00:00,1.7,0.25,,0.0,67.7,16.39,17.3,18.41,0.64,
310,2025-07-28 19:00:00,1.1,0.17,,0.0,75.64,15.17,15.5,15.96,0.43,
310,2025-07-28 20:00:00,1.6,0.35,,0.0,73.24,14.0,14.35,14.57,0.44,
310,2025-07-28 21:00:00,1.2,0.25,,0.0,72.54,13.67,13.99,14.28,0.44,
310,2025-07-28 22:00:00,1.1,0.13,,0.0,73.59,13.16,13.62,14.18,0.41,
310,2025-07-28 23:00:00,1.3,0.15,,0.0,78.09,12.71,13.0,13.37,0.33,
310,2025-07-29 00:00:00,0.9,0.15,,0.0,76.7,12.63,13.14,13.71,0.36,
310,2025-07-29 01:00:00,1.2,0.2,,0.0,78.64,12.38,12.83,13.24,0.32,
310,2025-07-29 02:00:00,1.4,0.23,,0.0,86.41,11.3,11.66,12.25,0.19,
310,2025-07-29 03:00:00,1.4,0.18,,0.0,86.16,11.31,11.53,11.77,0.19,
310,2025-07-29 04:00:00,0.7,0.0,,0.0,88.34,11.26,11.33,11.41,0.16,
310,2025-07-29 05:00:00,0.8,0.1,,0.0,88.74,10.94,11.32,11.75,0.15,
310,2025-07-29 06:00:00,1.0,0.15,,0.0,83.24,11.5,11.84,12.22,0.23,
310,2025-07-29 07:00:00,0.8,0.08,,0.0,83.87,10.87,11.46,11.88,0.22,
310,2025-07-29 08:00:00,1.1,0.13,,0.0,75.86,11.86,12.12,12.36,0.34,
310,2025-07-29 09:00:00,1.7,0.28,,0.0,75.59,11.27,12.46,14.22,0.36,
310,2025-07-29 10:00:00,1.0,0.18,,0.0,81.19,11.78,12.36,12.9,0.27,
310,2025-07-29 11:00:00,1.6,0.27,,0.0,73.45,13.12,13.94,14.66,0.43,
310,2025-07-29 12:00:00,2.3,0.46,,0.0,61.54,15.32,16.7,18.08,0.74,
310,2025-07-29 13:00:00,2.2,0.9,,0.0,59.3,16.96,17.26,17.4,0.8,
310,2025-07-29 14:00:00,1.5,0.37,,0.0,54.78,17.27,17.7,17.96,0.92,
310,2025-07-29 15:00:00,1.4,0.18,,0.0,50.35,18.06,18.44,19.39,1.06,
310,2025-07-29 16:00:00,1.0,0.09,,0.0,44.94,19.29,19.44,19.64,1.24,
310,2025-07-29 17:00:00,0.8,0.08,,0.0,58.11,17.37,18.18,19.12,0.88,
310,2025-07-29 18:00:00,1.7,0.27,,0.0,68.78,15.26,16.01,16.6,0.57,
310,2025-07-29 19:00:00,3.6,0.85,,0.0,64.84,15.25,16.1,16.7,0.65,
310,2025-07-29 20:00:00,2.4,0.57,,0.0,65.85,14.13,15.84,16.42,0.62,
310,2025-07-29 21:00:00,1.8,0.3,,0.0,74.47,13.53,13.88,14.25,0.41,
310,2025-07-29 22:00:00,1.1,0.2,,0.0,79.29,12.22,12.63,13.03,0.3,
310,2025-07-29 23:00:00,1.5,0.3,,0.0,79.89,11.81,12.19,12.64,0.29,
310,2025-07-30 00:00:00,1.1,0.17,,0.0,81.72,11.47,11.8,12.12,0.25,
310,2025-07-30 01:00:00,3.5,0.3,,0.0,84.35,10.78,11.42,12.4,0.22,
310,2025-07-30 02:00:00,4.7,1.38,,0.0,87.13,11.55,11.99,12.49,0.18,
310,2025-07-30 03:00:00,1.9,0.45,,0.0,94.4,10.44,11.06,11.43,0.08,
310,2025-07-30 04:00:00,1.4,0.27,,0.0,96.9,9.8,10.21,10.37,0.04,
310,2025-07-30 05:00:00,1.0,0.1,,0.0,97.93,9.7,9.95,10.38,0.03,
310,2025-07-30 06:00:00,2.0,0.6,,0.0,83.18,9.81,12.16,13.22,0.25,
310,2025-07-30 07:00:00,1.9,0.4,,0.0,84.29,11.36,11.68,12.17,0.22,
310,2025-07-30 08:00:00,3.8,0.93,,0.0,78.66,11.19,12.41,13.17,0.31,
310,2025-07-30 09:00:00,1.8,0.47,,0.0,82.82,12.02,12.3,12.64,0.25,
310,2025-07-30 10:00:00,2.7,0.43,,0.0,87.06,11.79,12.21,12.58,0.19,
310,2025-07-30 11:00:00,2.5,0.3,,0.0,82.22,12.59,13.24,13.63,0.27,
310,2025-07-30 12:00:00,1.4,0.35,,0.0,77.11,13.97,14.37,14.55,0.37,
310,2025-07-30 13:00:00,3.9,1.18,,0.0,80.88,13.64,13.95,14.6,0.31,
310,2025-07-30 14:00:00,1.2,0.33,,0.0,78.07,13.87,13.95,14.07,0.35,
310,2025-07-30 15:00:00,1.4,0.37,,0.0,79.42,13.78,13.82,13.88,0.33,
310,2025-07-30 16:00:00,2.1,0.17,,0.0,73.01,13.88,14.53,15.69,0.46,
310,2025-07-30 17:00:00,2.5,0.35,,0.0,65.06,14.55,15.19,15.66,0.61,
310,2025-07-30 18:00:00,1.8,0.33,,0.0,72.58,13.12,14.01,14.6,0.44,
310,2025-07-30 19:00:00,4.9,1.28,,0.0,82.79,12.65,12.88,13.15,0.26,
310,2025-07-30 20:00:00,3.3,0.95,,0.0,85.97,12.02,12.31,12.67,0.2,
310,2025-07-30 21:00:00,6.4,1.68,,0.0,80.64,12.19,12.51,12.65,0.28,
310,2025-07-30 22:00:00,5.9,1.68,,0.0,79.31,12.39,12.44,12.49,0.3,
310,2025-07-30 23:00:00,3.8,1.23,,0.0,76.23,12.5,12.66,12.91,0.35,
310,2025-07-31 00:00:00,5.8,0.73,,0.0,70.95,12.88,13.17,13.46,0.44,
310,2025-07-31 01:00:00,2.5,0.48,,0.0,74.93,11.41,12.6,13.63,0.37,
310,2025-07-31 02:00:00,1.1,0.05,,0.0,88.21,10.6,10.91,11.33,0.16,
310,2025-07-31 03:00:00,4.9,0.7,,0.0,77.18,10.31,11.94,13.35,0.33,
310,2025-07-31 04:00:00,3.5,0.73,,0.0,66.3,11.84,13.1,13.74,0.51,
310,2025-07-31 05:00:00,2.5,0.52,,0.0,56.77,13.48,13.9,14.19,0.69,
310,2025-07-31 06:00:00,6.3,1.78,,0.0,62.94,12.57,13.31,14.5,0.57,
310,2025-07-31 07:00:00,9.3,2.0,,4.0,76.49,11.54,12.25,13.1,0.34,
310,2025-07-31 08:00:00,7.9,1.73,,2.8,83.4,12.48,12.6,12.76,0.24,
