idEstacion,fecha,velocidadMaximaViento,velocidadPromedioViento,radiacion,precipitacion,humedadRelativa,tempMinima,tempMedia,tempMaxima,dpv,presion
309,2025-07-25 22:00:00,0.3,0.0,0.0,0.0,99.51,8.45,8.49,8.56,0.01,
309,2025-07-25 23:00:00,0.2,0.0,0.0,0.0,99.53,8.23,8.46,8.69,0.01,
309,2025-07-26 00:00:00,0.3,0.0,0.0,0.0,99.53,7.88,8.22,8.42,0.01,
309,2025-07-26 01:00:00,0.3,0.03,0.0,0.0,99.54,7.68,7.93,8.14,0.0,
309,2025-07-26 02:00:00,0.4,0.03,0.0,0.0,99.55,7.19,7.58,8.18,0.0,
309,2025-07-26 03:00:00,0.4,0.0,0.0,0.0,99.56,6.61,6.94,7.56,0.0,
309,2025-07-26 04:00:00,0.3,0.0,0.0,0.0,99.57,6.51,6.85,7.3,0.0,
309,2025-07-26 05:00:00,0.2,0.0,0.0,0.0,99.57,6.0,6.41,6.88,0.0,
309,2025-07-26 06:00:00,0.2,0.0,0.0,0.0,98.28,5.33,5.64,5.95,0.01,
309,2025-07-26 07:00:00,0.2,0.0,0.0,0.0,97.33,5.6,5.81,6.05,0.02,
309,2025-07-26 08:00:00,0.7,0.03,0.0,0.0,97.32,5.64,5.97,6.19,0.03,
309,2025-07-26 09:00:00,0.4,0.02,60.0,0.0,97.32,4.87,5.41,6.07,0.02,
309,2025-07-26 10:00:00,0.0,0.0,116.0,0.0,97.32,6.31,6.87,7.57,0.03,
309,2025-07-26 11:00:00,0.8,0.12,172.0,0.2,97.32,7.6,8.12,8.53,0.03,
309,2025-07-26 12:00:00,1.1,0.23,384.0,0.0,97.79,8.8,9.74,10.9,0.03,
309,2025-07-26 13:00:00,2.3,0.48,301.0,0.0,99.55,10.86,11.45,12.06,0.01,
309,2025-07-26 14:00:00,1.4,0.45,369.0,0.0,99.62,12.26,12.69,12.89,0.01,
309,2025-07-26 15:00:00,2.2,0.47,383.0,0.0,99.65,13.22,13.37,13.58,0.01,
309,2025-07-26 16:00:00,1.2,0.08,186.0,0.0,99.67,13.2,13.35,13.47,0.01,
309,2025-07-26 17:00:00,1.0,0.23,155.0,0.0,99.66,13.19,13.3,13.5,0.01,
309,2025-07-26 18:00:00,0.9,0.17,88.0,0.0,99.62,11.33,12.65,13.57,0.01,
309,2025-07-26 19:00:00,0.7,0.12,0.0,0.0,99.51,9.46,10.05,10.78,0.01,
309,2025-07-26 20:00:00,0.0,0.0,0.0,0.0,99.48,8.34,8.69,9.15,0.01,
