target_key,scheme,subset,split_id,method,predictors,seed,feature,perm_importance_mean,perm_importance_std,n_repeats
malvidina_3_o_glucosido_mg_kg,cv5_mixed,mixed,1,CV5,GDA,42,GDA,37.36964335070259,19.03559773705283,20
malvidina_3_o_glucosido_mg_kg,cv5_mixed,mixed,2,CV5,GDA,42,GDA,22.51674447249049,14.687044815001194,20
malvidina_3_o_glucosido_mg_kg,cv5_mixed,mixed,3,CV5,GDA,42,GDA,33.965881554918724,20.37912450199744,20
malvidina_3_o_glucosido_mg_kg,cv5_mixed,mixed,4,CV5,GDA,42,GDA,-6.918826503714724,8.895610256584506,20
malvidina_3_o_glucosido_mg_kg,cv5_mixed,mixed,5,CV5,GDA,42,GDA,1.5987211554602254e-14,1.586834587934568e-14,20
malvidina_3_o_glucosido_mg_kg,cv5_mixed,mixed,1,CV5,GDA,123,GDA,15.952330228688774,18.550272953043677,20
malvidina_3_o_glucosido_mg_kg,cv5_mixed,mixed,2,CV5,GDA,123,GDA,1.0404690817968494,12.409952699234841,20
malvidina_3_o_glucosido_mg_kg,cv5_mixed,mixed,3,CV5,GDA,123,GDA,-2.1129176146823916,7.047797949596222,20
malvidina_3_o_glucosido_mg_kg,cv5_mixed,mixed,4,CV5,GDA,123,GDA,22.434632057221947,20.40945809986309,20
malvidina_3_o_glucosido_mg_kg,cv5_mixed,mixed,5,CV5,GDA,123,GDA,28.33965590673361,28.569799059322488,20
malvidina_3_o_glucosido_mg_kg,cv5_mixed,mixed,1,CV5,GDA,2026,GDA,-4.643488111077851,12.10960010623103,20
malvidina_3_o_glucosido_mg_kg,cv5_mixed,mixed,2,CV5,GDA,2026,GDA,32.34626795358386,20.38292482095288,20
malvidina_3_o_glucosido_mg_kg,cv5_mixed,mixed,3,CV5,GDA,2026,GDA,-0.8876302053261782,13.126844717199104,20
malvidina_3_o_glucosido_mg_kg,cv5_mixed,mixed,4,CV5,GDA,2026,GDA,-18.076601664380856,17.577302844045324,20
malvidina_3_o_glucosido_mg_kg,cv5_mixed,mixed,5,CV5,GDA,2026,GDA,-11.835723180639732,5.064317479458201,20
