target_key,scheme,subset,split_id,method,predictors,seed,feature,shap_mean_abs
taninos_mg_baya,lofo_mixed,mixed,IDAHUE,LOFO,GDA,42,GDA,0.30681798640261915
taninos_mg_baya,lofo_mixed,mixed,KEULE,LOFO,GDA,42,GDA,0.1847746877634865
taninos_mg_baya,lofo_mixed,mixed,LOURDES,LOFO,GDA,42,GDA,0.21471320759155857
taninos_mg_baya,lofo_mixed,mixed,NILAHUE,LOFO,GDA,42,GDA,0.41283852758870637
taninos_mg_baya,lofo_mixed,mixed,PALO SANTO,LOFO,GDA,42,GDA,0.31343948970300106
taninos_mg_baya,lofo_mixed,mixed,PEUMO,LOFO,GDA,42,GDA,0.811818898323624
taninos_mg_baya,lofo_mixed,mixed,QUEBRADA DE AGUA,LOFO,GDA,42,GDA,0.31965982751921695
taninos_mg_baya,lofo_mixed,mixed,QUINTA MAIPO,LOFO,GDA,42,GDA,0.21852541324217464
taninos_mg_baya,lofo_mixed,mixed,RAUCO,LOFO,GDA,42,GDA,0.31944416632129174
taninos_mg_baya,lofo_mixed,mixed,SAN ADOLFO,LOFO,GDA,42,GDA,0.23923025209238102
taninos_mg_baya,lofo_mixed,mixed,VILLA ALEGRE,LOFO,GDA,42,GDA,0.35051321462693835
taninos_mg_baya,lofo_mixed,mixed,IDAHUE,LOFO,GDA,123,GDA,0.31092646842767674
taninos_mg_baya,lofo_mixed,mixed,KEULE,LOFO,GDA,123,GDA,0.1876881241305678
taninos_mg_baya,lofo_mixed,mixed,LOURDES,LOFO,GDA,123,GDA,0.23974087106156236
taninos_mg_baya,lofo_mixed,mixed,NILAHUE,LOFO,GDA,123,GDA,0.3835945609332518
taninos_mg_baya,lofo_mixed,mixed,PALO SANTO,LOFO,GDA,123,GDA,0.32100461629967864
taninos_mg_baya,lofo_mixed,mixed,PEUMO,LOFO,GDA,123,GDA,0.8363493619975105
taninos_mg_baya,lofo_mixed,mixed,QUEBRADA DE AGUA,LOFO,GDA,123,GDA,0.3394846161310567
taninos_mg_baya,lofo_mixed,mixed,QUINTA MAIPO,LOFO,GDA,123,GDA,0.2063190204498699
taninos_mg_baya,lofo_mixed,mixed,RAUCO,LOFO,GDA,123,GDA,0.3179663066829488
taninos_mg_baya,lofo_mixed,mixed,SAN ADOLFO,LOFO,GDA,123,GDA,0.2445651226896314
taninos_mg_baya,lofo_mixed,mixed,VILLA ALEGRE,LOFO,GDA,123,GDA,0.36966119718415963
taninos_mg_baya,lofo_mixed,mixed,IDAHUE,LOFO,GDA,2026,GDA,0.2787505211861365
taninos_mg_baya,lofo_mixed,mixed,KEULE,LOFO,GDA,2026,GDA,0.2217126081685835
taninos_mg_baya,lofo_mixed,mixed,LOURDES,LOFO,GDA,2026,GDA,0.2227939064810981
taninos_mg_baya,lofo_mixed,mixed,NILAHUE,LOFO,GDA,2026,GDA,0.36731912433618263
taninos_mg_baya,lofo_mixed,mixed,PALO SANTO,LOFO,GDA,2026,GDA,0.32988466653803244
taninos_mg_baya,lofo_mixed,mixed,PEUMO,LOFO,GDA,2026,GDA,0.8103748541548543
taninos_mg_baya,lofo_mixed,mixed,QUEBRADA DE AGUA,LOFO,GDA,2026,GDA,0.31524654872846314
taninos_mg_baya,lofo_mixed,mixed,QUINTA MAIPO,LOFO,GDA,2026,GDA,0.21657612422432693
taninos_mg_baya,lofo_mixed,mixed,RAUCO,LOFO,GDA,2026,GDA,0.2929586877878415
taninos_mg_baya,lofo_mixed,mixed,SAN ADOLFO,LOFO,GDA,2026,GDA,0.23568192549790803
taninos_mg_baya,lofo_mixed,mixed,VILLA ALEGRE,LOFO,GDA,2026,GDA,0.344511827330787
