fundo,temporada,variedad,biofix_tipo,biofix_fecha,fecha_brotacion_ELP4,gdd_acumulado_a_brotacion,gdd_acumulado_previo_t0,gdd_entre_biofix_y_t0,dias_biofix_vs_valle,diagnostico_valle,threshold_GDD_usado,alerta_temporada_anterior,diagnostico_biofix
qba_seca,2025_2026,cabernet_sauvignon,15_julio,2025-07-15,2025-08-21,121.70874188182012,1343.9246202195548,50.68729945323027,0,cercano_al_valle,71.02144242858984,SI: Acumulación térmica previa a t0 (50.7 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
qba_seca,2025_2026,cabernet_sauvignon,1_agosto,2025-08-01,2025-08-21,73.34715008063506,1343.9246202195548,2.325707652045214,17,cercano_al_valle,71.02144242858984,SI: Acumulación térmica previa a t0 (2.3 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
qba_seca,2025_2026,cabernet_sauvignon,15_agosto,2025-08-15,2025-08-21,20.308907471716225,1343.9246202195548,-50.71253495687362,31,posterior_al_valle,71.02144242858984,NO,OK
qba_seca,2025_2026,cabernet_sauvignon,1_septiembre,2025-09-01,2025-08-21,,1343.9246202195548,-100.45035027680159,48,posterior_al_valle,71.02144242858984,SI: Biofix posterior a fecha de brotación observada,biofix_posterior_a_brotacion
idahue,2025_2026,cabernet_sauvignon,15_julio,2025-07-15,2025-09-05,127.44409349377271,1283.5965276891986,57.04072634830729,21,cercano_al_valle,70.40336714546544,SI: Acumulación térmica previa a t0 (57.0 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
idahue,2025_2026,cabernet_sauvignon,1_agosto,2025-08-01,2025-09-05,91.00851456465519,1283.5965276891986,20.605147419189734,38,posterior_al_valle,70.40336714546544,SI: Acumulación térmica previa a t0 (20.6 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
idahue,2025_2026,cabernet_sauvignon,15_agosto,2025-08-15,2025-09-05,55.96786577136609,1283.5965276891986,-14.435501374099363,52,posterior_al_valle,70.40336714546544,NO,OK
idahue,2025_2026,cabernet_sauvignon,1_septiembre,2025-09-01,2025-09-05,14.809560974071372,1283.5965276891986,-55.59380617139408,69,posterior_al_valle,70.40336714546544,NO,OK
ucuquer,2025_2026,cabernet_sauvignon,15_julio,2025-07-15,2025-09-09,154.02784263602925,1198.5300082037713,82.9144761154398,22,posterior_al_valle,71.11336652058942,SI: Acumulación térmica previa a t0 (82.9 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
ucuquer,2025_2026,cabernet_sauvignon,1_agosto,2025-08-01,2025-09-09,106.98177481123606,1198.5300082037713,35.86840829064664,39,posterior_al_valle,71.11336652058942,SI: Acumulación térmica previa a t0 (35.9 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
ucuquer,2025_2026,cabernet_sauvignon,15_agosto,2025-08-15,2025-09-09,63.53073151289827,1198.5300082037713,-7.582635007691154,53,posterior_al_valle,71.11336652058942,NO,OK
ucuquer,2025_2026,cabernet_sauvignon,1_septiembre,2025-09-01,2025-09-09,19.696658888579762,1198.5300082037713,-51.41670763200967,70,posterior_al_valle,71.11336652058942,NO,OK
los_acacios,2025_2026,cabernet_sauvignon,15_julio,2025-07-15,2025-09-14,214.40984057981774,1418.3836031118055,144.18629835261166,0,cercano_al_valle,70.22354222720604,SI: Acumulación térmica previa a t0 (144.2 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
los_acacios,2025_2026,cabernet_sauvignon,1_agosto,2025-08-01,2025-09-14,165.00111100314518,1418.3836031118055,94.77756877593913,17,cercano_al_valle,70.22354222720604,SI: Acumulación térmica previa a t0 (94.8 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
los_acacios,2025_2026,cabernet_sauvignon,15_agosto,2025-08-15,2025-09-14,109.27199508286337,1418.3836031118055,39.04845285565732,31,posterior_al_valle,70.22354222720604,SI: Acumulación térmica previa a t0 (39.0 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
los_acacios,2025_2026,cabernet_sauvignon,1_septiembre,2025-09-01,2025-09-14,57.98443684234679,1418.3836031118055,-12.239105384859267,48,posterior_al_valle,70.22354222720604,NO,OK
lourdes,2025_2026,cabernet_sauvignon,15_julio,2025-07-15,2025-09-17,179.86620231163067,236.66593680595608,110.51671579147829,20,cercano_al_valle,69.34948652015238,SI: Acumulación térmica previa a t0 (110.5 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
lourdes,2025_2026,cabernet_sauvignon,1_agosto,2025-08-01,2025-09-17,137.19408587945995,236.66593680595608,67.8445993593076,37,posterior_al_valle,69.34948652015238,SI: Acumulación térmica previa a t0 (67.8 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
lourdes,2025_2026,cabernet_sauvignon,15_agosto,2025-08-15,2025-09-17,104.57506943675492,236.66593680595608,35.22558291660255,51,posterior_al_valle,69.34948652015238,SI: Acumulación térmica previa a t0 (35.2 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
lourdes,2025_2026,cabernet_sauvignon,1_septiembre,2025-09-01,2025-09-17,53.52550754466483,236.66593680595608,-15.823978975487547,68,posterior_al_valle,69.34948652015238,NO,OK
nilahue,2025_2026,cabernet_sauvignon,15_julio,2025-07-15,2025-09-20,181.12838326168367,1260.6505201844432,110.98963712518389,21,cercano_al_valle,70.13874613649969,SI: Acumulación térmica previa a t0 (111.0 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
